Dates,Time,Category,DayOfWeek,PdDistrict,Resolution                                                                        ,
26/01/2014,07:40:00,NON-CRIMINAL,Sunday,CENTRAL,NONE,
20/01/2015,16:37:00,NON-CRIMINAL,Tuesday,MISSION,ARREST,BOOKED
02/09/2008,23:40:00,OTHER OFFENSES,Tuesday,BAYVIEW,UNFOUNDED,
29/12/2010,22:05:00,FRAUD,Wednesday,SOUTHERN,ARREST,BOOKED
25/07/2007,10:30:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
21/02/2007,19:45:00,NON-CRIMINAL,Wednesday,BAYVIEW,NONE,
22/07/2014,12:46:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
26/08/2010,12:00:00,NON-CRIMINAL,Thursday,TARAVAL,NONE,
30/10/2008,19:23:00,BURGLARY,Thursday,RICHMOND,NONE,
07/08/2004,22:00:00,FRAUD,Saturday,NORTHERN,NONE,
02/06/2010,16:43:00,OTHER OFFENSES,Wednesday,SOUTHERN,NONE,
26/02/2006,00:30:00,LARCENY\/THEFT,Sunday,SOUTHERN,NONE,
29/06/2007,08:45:00,ASSAULT,Friday,MISSION,NONE,
14/08/2010,00:15:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
27/08/2006,02:30:00,ROBBERY,Sunday,SOUTHERN,NONE,
29/06/2014,18:35:00,OTHER OFFENSES,Sunday,BAYVIEW,ARREST,CITED
01/09/2014,06:00:00,NON-CRIMINAL,Monday,NORTHERN,NONE,
17/06/2011,14:30:00,OTHER OFFENSES,Friday,INGLESIDE,ARREST,CITED
17/12/2011,11:00:00,LARCENY\/THEFT,Saturday,BAYVIEW,ARREST,BOOKED
02/09/2014,14:15:00,OTHER OFFENSES,Tuesday,NORTHERN,ARREST,BOOKED
27/05/2003,14:55:00,ASSAULT,Tuesday,SOUTHERN,ARREST,CITED
17/03/2003,02:50:00,WEAPON LAWS,Monday,NORTHERN,ARREST,BOOKED
21/01/2009,21:00:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
07/06/2004,19:30:00,VANDALISM,Monday,MISSION,NONE,
07/08/2012,21:00:00,NON-CRIMINAL,Tuesday,CENTRAL,NONE,
20/04/2012,18:00:00,BURGLARY,Friday,SOUTHERN,NONE,
27/03/2011,18:46:00,OTHER OFFENSES,Sunday,BAYVIEW,ARREST,CITED
29/04/2014,18:00:00,LARCENY\/THEFT,Tuesday,CENTRAL,NONE,
30/07/2006,17:18:00,DRUG\/NARCOTIC,Sunday,SOUTHERN,ARREST,BOOKED
09/07/2003,11:35:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
12/08/2012,19:51:00,ASSAULT,Sunday,BAYVIEW,ARREST,BOOKED
19/03/2012,03:00:00,LARCENY\/THEFT,Monday,MISSION,NONE,
17/10/2009,16:53:00,WARRANTS,Saturday,NORTHERN,ARREST,BOOKED
24/12/2014,10:45:00,NON-CRIMINAL,Wednesday,PARK,ARREST,CITED
19/03/2007,10:30:00,LARCENY\/THEFT,Monday,BAYVIEW,NONE,
02/05/2004,22:00:00,LARCENY\/THEFT,Sunday,RICHMOND,NONE,
04/06/2005,21:00:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
17/09/2014,08:25:00,TRESPASS,Wednesday,SOUTHERN,ARREST,CITED
23/03/2006,09:10:00,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST,CITED
23/12/2013,06:20:00,LARCENY\/THEFT,Monday,TENDERLOIN,ARREST,BOOKED
06/10/2005,17:05:00,STOLEN PROPERTY,Thursday,SOUTHERN,ARREST,BOOKED
09/09/2011,19:30:00,LARCENY\/THEFT,Friday,PARK,NONE,
21/04/2011,22:30:00,LARCENY\/THEFT,Thursday,TARAVAL,NONE,
12/07/2005,21:35:00,ASSAULT,Tuesday,CENTRAL,NONE,
10/04/2005,20:34:00,ASSAULT,Sunday,MISSION,NONE,
26/02/2006,12:02:00,FRAUD,Sunday,SOUTHERN,NOT PROSECUTED,
20/03/2012,11:00:00,ASSAULT,Tuesday,INGLESIDE,ARREST,CITED
11/01/2005,04:06:00,WARRANTS,Tuesday,CENTRAL,ARREST,BOOKED
08/12/2003,11:00:00,FRAUD,Monday,NORTHERN,NONE,
01/07/2010,12:43:00,OTHER OFFENSES,Thursday,NORTHERN,ARREST,CITED
25/11/2004,12:00:00,FORGERY\/COUNTERFEITING,Thursday,NORTHERN,NONE,
02/11/2013,10:06:00,ARSON,Saturday,PARK,NONE,
11/01/2012,14:30:00,BURGLARY,Wednesday,TARAVAL,NONE,
01/11/2010,11:39:00,LARCENY\/THEFT,Monday,CENTRAL,NONE,
12/10/2009,11:15:00,OTHER OFFENSES,Monday,SOUTHERN,ARREST,BOOKED
01/01/2012,00:01:00,MISSING PERSON,Sunday,RICHMOND,LOCATED,
28/10/2004,00:20:00,PROSTITUTION,Thursday,CENTRAL,ARREST,BOOKED
27/01/2007,11:40:00,DRUG\/NARCOTIC,Saturday,MISSION,ARREST,BOOKED
23/07/2012,21:30:00,NON-CRIMINAL,Monday,BAYVIEW,NONE,
28/08/2011,12:35:00,WEAPON LAWS,Sunday,SOUTHERN,ARREST,BOOKED
23/08/2010,11:47:00,MISSING PERSON,Monday,CENTRAL,NONE,
01/11/2011,22:00:00,OTHER OFFENSES,Tuesday,INGLESIDE,JUVENILE ADMONISHED,
21/10/2011,11:00:00,NON-CRIMINAL,Friday,TENDERLOIN,NONE,
25/06/2004,18:45:00,NON-CRIMINAL,Friday,MISSION,NONE,
16/06/2010,15:38:00,ASSAULT,Wednesday,MISSION,NONE,
28/05/2013,14:32:00,NON-CRIMINAL,Tuesday,INGLESIDE,ARREST,BOOKED
02/11/2012,21:30:00,VANDALISM,Friday,NORTHERN,NONE,
21/01/2003,05:00:00,MISSING PERSON,Tuesday,RICHMOND,NONE,
01/05/2012,11:00:00,LARCENY\/THEFT,Tuesday,CENTRAL,NONE,
03/04/2008,12:00:00,FRAUD,Thursday,SOUTHERN,NONE,
12/11/2014,15:30:00,VANDALISM,Wednesday,SOUTHERN,NONE,
25/01/2006,04:00:00,NON-CRIMINAL,Wednesday,SOUTHERN,NONE,
25/12/2009,20:32:00,VANDALISM,Friday,MISSION,NONE,
15/05/2013,21:30:00,LARCENY\/THEFT,Wednesday,INGLESIDE,ARREST,BOOKED
06/02/2009,08:00:00,DRUG\/NARCOTIC,Friday,TENDERLOIN,ARREST,BOOKED
05/02/2013,07:00:00,LARCENY\/THEFT,Tuesday,BAYVIEW,NONE,
24/03/2005,16:15:00,NON-CRIMINAL,Thursday,SOUTHERN,NONE,
02/11/2005,17:30:00,MISSING PERSON,Wednesday,INGLESIDE,LOCATED,
03/12/2006,02:35:00,PROSTITUTION,Sunday,CENTRAL,ARREST,BOOKED
14/12/2012,18:01:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
14/11/2008,16:30:00,DRUG\/NARCOTIC,Friday,TENDERLOIN,NONE,
26/03/2006,10:00:00,VEHICLE THEFT,Sunday,INGLESIDE,NONE,
04/02/2015,20:50:00,LARCENY\/THEFT,Wednesday,TARAVAL,NONE,
19/03/2015,21:00:00,LARCENY\/THEFT,Thursday,BAYVIEW,NONE,
18/04/2005,02:55:00,BURGLARY,Monday,NORTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
05/11/2006,13:15:00,LARCENY\/THEFT,Sunday,RICHMOND,NONE,
30/12/2005,07:00:00,ASSAULT,Friday,MISSION,ARREST,CITED
23/07/2012,20:42:00,WARRANTS,Monday,TENDERLOIN,ARREST,BOOKED
17/05/2014,00:13:00,ASSAULT,Saturday,NORTHERN,ARREST,BOOKED
30/05/2014,06:00:00,MISSING PERSON,Friday,PARK,LOCATED,
09/01/2014,18:30:00,LARCENY\/THEFT,Thursday,NORTHERN,NONE,
26/07/2011,17:25:00,DRUG\/NARCOTIC,Tuesday,TENDERLOIN,ARREST,BOOKED
29/06/2012,17:20:00,VEHICLE THEFT,Friday,SOUTHERN,NONE,
25/10/2004,23:51:00,DRUG\/NARCOTIC,Monday,TENDERLOIN,CLEARED-CONTACT JUVENILE FOR MORE INFO,
18/11/2012,00:30:00,VEHICLE THEFT,Sunday,MISSION,NONE,
11/07/2012,10:46:00,OTHER OFFENSES,Wednesday,RICHMOND,ARREST,CITED
27/06/2013,01:30:00,LARCENY\/THEFT,Thursday,TENDERLOIN,NONE,
28/08/2010,22:20:00,OTHER OFFENSES,Saturday,TENDERLOIN,ARREST,BOOKED
13/11/2013,16:05:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
22/02/2004,15:00:00,NON-CRIMINAL,Sunday,BAYVIEW,UNFOUNDED,
08/08/2008,20:15:00,OTHER OFFENSES,Friday,CENTRAL,ARREST,BOOKED
08/07/2014,23:30:00,OTHER OFFENSES,Tuesday,TENDERLOIN,NONE,
22/09/2012,12:46:00,NON-CRIMINAL,Saturday,NORTHERN,NONE,
21/03/2004,17:20:00,BURGLARY,Sunday,TENDERLOIN,ARREST,BOOKED
10/03/2012,16:15:00,FORGERY\/COUNTERFEITING,Saturday,NORTHERN,ARREST,BOOKED
15/01/2011,21:00:00,VEHICLE THEFT,Saturday,TARAVAL,NONE,
13/12/2012,22:01:00,WEAPON LAWS,Thursday,INGLESIDE,ARREST,BOOKED
01/12/2012,12:00:00,VEHICLE THEFT,Saturday,RICHMOND,NONE,
10/11/2014,05:45:00,ASSAULT,Monday,SOUTHERN,ARREST,BOOKED
15/04/2009,20:41:00,FRAUD,Wednesday,CENTRAL,PROSECUTED BY OUTSIDE AGENCY,
26/05/2009,10:30:00,NON-CRIMINAL,Tuesday,CENTRAL,NONE,
11/07/2013,11:20:00,MISSING PERSON,Thursday,RICHMOND,LOCATED,
08/07/2004,14:00:00,LARCENY\/THEFT,Thursday,RICHMOND,NONE,
11/07/2003,03:00:00,LARCENY\/THEFT,Friday,CENTRAL,NONE,
06/09/2009,22:09:00,OTHER OFFENSES,Sunday,MISSION,ARREST,BOOKED
25/06/2013,09:00:00,SUSPICIOUS OCC,Tuesday,MISSION,NONE,
05/08/2003,18:30:00,ASSAULT,Tuesday,PARK,NONE,
09/12/2013,14:00:00,NON-CRIMINAL,Monday,TENDERLOIN,NONE,
09/01/2008,19:00:00,VEHICLE THEFT,Wednesday,INGLESIDE,NONE,
14/11/2008,23:30:00,LIQUOR LAWS,Friday,INGLESIDE,ARREST,CITED
23/01/2004,12:08:00,NON-CRIMINAL,Friday,NORTHERN,UNFOUNDED,
22/07/2013,17:00:00,LARCENY\/THEFT,Monday,CENTRAL,NONE,
18/02/2013,20:00:00,LARCENY\/THEFT,Monday,MISSION,NONE,
15/10/2007,11:28:00,DRUNKENNESS,Monday,SOUTHERN,ARREST,BOOKED
12/05/2004,10:00:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
22/07/2014,13:20:00,ROBBERY,Tuesday,SOUTHERN,NONE,
12/05/2014,04:00:00,SUSPICIOUS OCC,Monday,MISSION,NONE,
05/04/2014,11:25:00,LARCENY\/THEFT,Saturday,CENTRAL,NONE,
02/10/2003,14:16:00,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST,BOOKED
20/04/2005,12:00:00,VEHICLE THEFT,Wednesday,CENTRAL,NONE,
17/03/2015,13:20:00,ASSAULT,Tuesday,TENDERLOIN,NONE,
26/10/2009,16:30:00,VEHICLE THEFT,Monday,SOUTHERN,NONE,
27/07/2014,10:00:00,MISSING PERSON,Sunday,MISSION,ARREST,BOOKED
15/11/2005,18:36:00,DRUG\/NARCOTIC,Tuesday,SOUTHERN,ARREST,BOOKED
17/02/2015,15:30:00,MISSING PERSON,Tuesday,RICHMOND,UNFOUNDED,
14/04/2014,21:40:00,NON-CRIMINAL,Monday,CENTRAL,PSYCHOPATHIC CASE,
01/06/2010,12:00:00,FRAUD,Tuesday,SOUTHERN,PROSECUTED BY OUTSIDE AGENCY,
26/03/2010,01:00:00,OTHER OFFENSES,Friday,SOUTHERN,NONE,
05/09/2013,07:46:00,OTHER OFFENSES,Thursday,SOUTHERN,ARREST,BOOKED
04/03/2009,07:00:00,VANDALISM,Wednesday,PARK,NONE,
13/12/2009,00:01:00,LARCENY\/THEFT,Sunday,SOUTHERN,NONE,
29/11/2008,12:00:00,VEHICLE THEFT,Saturday,MISSION,NONE,
13/01/2013,11:00:00,SECONDARY CODES,Sunday,BAYVIEW,NONE,
13/07/2007,06:40:00,ASSAULT,Friday,INGLESIDE,ARREST,BOOKED
06/11/2005,20:00:00,LARCENY\/THEFT,Sunday,NORTHERN,NONE,
31/05/2008,15:00:00,LARCENY\/THEFT,Saturday,TENDERLOIN,NONE,
26/12/2008,22:00:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
23/02/2014,14:55:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
19/02/2007,19:00:00,LARCENY\/THEFT,Monday,BAYVIEW,NONE,
18/09/2014,15:15:00,OTHER OFFENSES,Thursday,SOUTHERN,ARREST,CITED
22/01/2014,18:00:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
03/12/2006,09:00:00,BURGLARY,Sunday,BAYVIEW,NONE,
22/10/2005,06:10:00,NON-CRIMINAL,Saturday,MISSION,ARREST,BOOKED
06/04/2006,12:17:00,LIQUOR LAWS,Thursday,BAYVIEW,ARREST,BOOKED
03/09/2009,14:00:00,FRAUD,Thursday,NORTHERN,NONE,
30/03/2015,18:15:00,NON-CRIMINAL,Monday,PARK,PSYCHOPATHIC CASE,
04/03/2003,20:30:00,BURGLARY,Tuesday,NORTHERN,NONE,
04/02/2003,23:15:00,DRUG\/NARCOTIC,Tuesday,NORTHERN,ARREST,BOOKED
18/05/2010,04:21:00,OTHER OFFENSES,Tuesday,NORTHERN,ARREST,BOOKED
28/08/2011,18:00:00,MISSING PERSON,Sunday,INGLESIDE,LOCATED,
07/08/2007,03:30:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
01/05/2013,07:30:00,LARCENY\/THEFT,Wednesday,RICHMOND,NONE,
30/11/2014,19:00:00,SECONDARY CODES,Sunday,SOUTHERN,NONE,
17/10/2014,02:00:00,LARCENY\/THEFT,Friday,TARAVAL,NONE,
22/12/2014,18:42:00,NON-CRIMINAL,Monday,SOUTHERN,ARREST,BOOKED
18/02/2003,21:00:00,VEHICLE THEFT,Tuesday,BAYVIEW,NONE,
15/10/2004,18:00:00,NON-CRIMINAL,Friday,TARAVAL,PSYCHOPATHIC CASE,
25/11/2014,14:00:00,LARCENY\/THEFT,Tuesday,SOUTHERN,NONE,
22/03/2014,20:30:00,WARRANTS,Saturday,TENDERLOIN,ARREST,BOOKED
31/05/2014,17:40:00,ASSAULT,Saturday,SOUTHERN,ARREST,BOOKED
20/03/2015,20:00:00,MISSING PERSON,Friday,MISSION,NONE,
18/12/2010,00:01:00,VANDALISM,Saturday,MISSION,NONE,
27/06/2013,11:07:00,OTHER OFFENSES,Thursday,MISSION,ARREST,BOOKED
16/05/2005,07:00:00,LARCENY\/THEFT,Monday,SOUTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
06/04/2013,18:24:00,OTHER OFFENSES,Saturday,TENDERLOIN,ARREST,BOOKED
31/10/2009,11:00:00,NON-CRIMINAL,Saturday,PARK,NONE,
28/07/2013,12:50:00,OTHER OFFENSES,Sunday,MISSION,ARREST,CITED
06/05/2005,08:30:00,VANDALISM,Friday,NORTHERN,NONE,
23/08/2007,20:00:00,MISSING PERSON,Thursday,TARAVAL,LOCATED,
07/03/2012,21:22:00,WEAPON LAWS,Wednesday,BAYVIEW,ARREST,BOOKED
09/10/2010,19:00:00,NON-CRIMINAL,Saturday,NORTHERN,NONE,
21/11/2010,15:15:00,TRESPASS,Sunday,CENTRAL,ARREST,CITED
27/12/2011,11:57:00,LARCENY\/THEFT,Tuesday,SOUTHERN,ARREST,BOOKED
17/08/2009,09:00:00,FORGERY\/COUNTERFEITING,Monday,INGLESIDE,UNFOUNDED,
15/06/2014,10:19:00,LARCENY\/THEFT,Sunday,TARAVAL,NONE,
14/07/2007,14:00:00,ASSAULT,Saturday,BAYVIEW,ARREST,CITED
03/05/2015,19:30:00,SEX OFFENSES FORCIBLE,Sunday,SOUTHERN,NONE,
10/07/2003,21:38:00,LARCENY\/THEFT,Thursday,TENDERLOIN,JUVENILE ADMONISHED,
01/10/2009,16:49:00,OTHER OFFENSES,Thursday,INGLESIDE,NONE,
11/07/2009,17:30:00,ASSAULT,Saturday,MISSION,NONE,
05/09/2006,11:12:00,DRUNKENNESS,Tuesday,SOUTHERN,ARREST,BOOKED
11/03/2007,00:01:00,WARRANTS,Sunday,SOUTHERN,ARREST,BOOKED
28/05/2012,05:56:00,LOITERING,Monday,TENDERLOIN,ARREST,CITED
31/12/2006,11:00:00,VANDALISM,Sunday,INGLESIDE,NONE,
01/11/2003,11:40:00,LARCENY\/THEFT,Saturday,SOUTHERN,ARREST,CITED
27/07/2003,23:00:00,LARCENY\/THEFT,Sunday,TARAVAL,NONE,
17/12/2010,09:10:00,OTHER OFFENSES,Friday,BAYVIEW,ARREST,CITED
22/02/2006,09:00:00,ASSAULT,Wednesday,INGLESIDE,NONE,
15/05/2006,01:00:00,ASSAULT,Monday,PARK,ARREST,BOOKED
16/03/2009,10:13:00,DRUG\/NARCOTIC,Monday,TENDERLOIN,ARREST,BOOKED
10/07/2014,10:40:00,OTHER OFFENSES,Thursday,PARK,ARREST,BOOKED
19/09/2011,14:20:00,WARRANTS,Monday,BAYVIEW,ARREST,BOOKED
14/10/2008,12:00:00,FORGERY\/COUNTERFEITING,Tuesday,SOUTHERN,NONE,
26/07/2014,13:12:00,WEAPON LAWS,Saturday,MISSION,ARREST,BOOKED
02/09/2014,23:20:00,VANDALISM,Tuesday,CENTRAL,NONE,
19/05/2010,13:35:00,OTHER OFFENSES,Wednesday,BAYVIEW,NONE,
11/07/2008,20:30:00,VANDALISM,Friday,PARK,NONE,
06/02/2015,05:58:00,WARRANTS,Friday,TENDERLOIN,ARREST,BOOKED
30/12/2007,19:32:00,ROBBERY,Sunday,TARAVAL,NONE,
29/11/2005,04:00:00,BURGLARY,Tuesday,MISSION,NONE,
21/07/2004,11:35:00,ASSAULT,Wednesday,SOUTHERN,NONE,
13/12/2009,16:30:00,NON-CRIMINAL,Sunday,TENDERLOIN,PSYCHOPATHIC CASE,
30/10/2013,12:30:00,ASSAULT,Wednesday,TARAVAL,ARREST,BOOKED
14/07/2012,14:30:00,LARCENY\/THEFT,Saturday,MISSION,NONE,
16/03/2009,17:32:00,DRUG\/NARCOTIC,Monday,MISSION,ARREST,BOOKED
15/06/2014,17:45:00,LARCENY\/THEFT,Sunday,PARK,NONE,
02/02/2015,20:14:00,MISSING PERSON,Monday,CENTRAL,EXCEPTIONAL CLEARANCE,
08/09/2007,23:00:00,LARCENY\/THEFT,Saturday,CENTRAL,NONE,
05/03/2014,16:25:00,WARRANTS,Wednesday,TENDERLOIN,ARREST,BOOKED
14/11/2012,00:01:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
13/06/2003,09:18:00,WARRANTS,Friday,SOUTHERN,ARREST,BOOKED
06/09/2009,16:15:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
02/10/2008,17:45:00,WARRANTS,Thursday,NORTHERN,ARREST,BOOKED
05/09/2013,10:00:00,LARCENY\/THEFT,Thursday,SOUTHERN,NONE,
09/12/2004,23:00:00,SUSPICIOUS OCC,Thursday,BAYVIEW,NONE,
15/10/2009,19:50:00,WEAPON LAWS,Thursday,TARAVAL,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
03/09/2004,08:51:00,DRUG\/NARCOTIC,Friday,TENDERLOIN,ARREST,BOOKED
24/03/2011,20:15:00,STOLEN PROPERTY,Thursday,SOUTHERN,ARREST,BOOKED
15/05/2014,00:01:00,LARCENY\/THEFT,Thursday,TARAVAL,NONE,
17/07/2010,02:51:00,SUSPICIOUS OCC,Saturday,INGLESIDE,NONE,
10/04/2010,15:00:00,LARCENY\/THEFT,Saturday,MISSION,NONE,
04/05/2013,01:55:00,VANDALISM,Saturday,BAYVIEW,NONE,
03/10/2014,11:30:00,NON-CRIMINAL,Friday,BAYVIEW,EXCEPTIONAL CLEARANCE,
05/06/2010,21:40:00,SEX OFFENSES FORCIBLE,Saturday,SOUTHERN,NONE,
21/01/2003,01:21:00,DRUG\/NARCOTIC,Tuesday,NORTHERN,ARREST,BOOKED
08/08/2012,00:51:00,OTHER OFFENSES,Wednesday,MISSION,NONE,
07/04/2007,18:45:00,DRUG\/NARCOTIC,Saturday,SOUTHERN,ARREST,BOOKED
31/03/2014,18:00:00,WEAPON LAWS,Monday,MISSION,ARREST,BOOKED
14/06/2006,18:28:00,SECONDARY CODES,Wednesday,MISSION,ARREST,BOOKED
08/03/2015,21:00:00,VEHICLE THEFT,Sunday,RICHMOND,NONE,
13/07/2012,02:53:00,DRUG\/NARCOTIC,Friday,MISSION,ARREST,CITED
19/11/2005,00:30:00,VANDALISM,Saturday,MISSION,NONE,
25/03/2010,23:00:00,LARCENY\/THEFT,Thursday,PARK,NONE,
01/08/2010,21:00:00,LARCENY\/THEFT,Sunday,NORTHERN,NONE,
12/01/2005,10:00:00,LIQUOR LAWS,Wednesday,TENDERLOIN,ARREST,CITED
30/07/2011,08:15:00,ASSAULT,Saturday,TARAVAL,EXCEPTIONAL CLEARANCE,
22/08/2008,22:23:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
05/09/2004,14:00:00,VEHICLE THEFT,Sunday,TARAVAL,NONE,
16/12/2011,17:00:00,LARCENY\/THEFT,Friday,TARAVAL,NONE,
28/02/2010,09:00:00,ASSAULT,Sunday,NORTHERN,ARREST,BOOKED
25/03/2005,10:30:00,LARCENY\/THEFT,Friday,MISSION,NONE,
08/02/2009,14:23:00,NON-CRIMINAL,Sunday,SOUTHERN,NONE,
18/04/2009,08:36:00,OTHER OFFENSES,Saturday,SOUTHERN,ARREST,BOOKED
14/01/2012,15:35:00,ASSAULT,Saturday,NORTHERN,ARREST,BOOKED
03/06/2007,18:45:00,LARCENY\/THEFT,Sunday,PARK,NONE,
30/07/2005,18:26:00,NON-CRIMINAL,Saturday,RICHMOND,NONE,
31/10/2007,19:00:00,BURGLARY,Wednesday,SOUTHERN,UNFOUNDED,
12/06/2008,16:00:00,NON-CRIMINAL,Thursday,SOUTHERN,NONE,
11/08/2007,21:00:00,VANDALISM,Saturday,SOUTHERN,NONE,
25/11/2014,00:01:00,LARCENY\/THEFT,Tuesday,CENTRAL,NONE,
29/10/2007,20:00:00,ROBBERY,Monday,INGLESIDE,UNFOUNDED,
11/06/2003,10:50:00,WARRANTS,Wednesday,NORTHERN,ARREST,BOOKED
26/01/2014,06:45:00,WARRANTS,Sunday,CENTRAL,ARREST,BOOKED
13/08/2010,15:00:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
01/07/2012,23:30:00,OTHER OFFENSES,Sunday,RICHMOND,NONE,
26/11/2013,07:50:00,VANDALISM,Tuesday,TARAVAL,NONE,
01/10/2003,08:00:00,VANDALISM,Wednesday,NORTHERN,NONE,
05/03/2003,21:30:00,VEHICLE THEFT,Wednesday,NORTHERN,NONE,
14/04/2009,13:30:00,BURGLARY,Tuesday,INGLESIDE,ARREST,BOOKED
13/07/2007,11:45:00,BURGLARY,Friday,CENTRAL,NONE,
16/05/2012,12:30:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
30/05/2005,18:00:00,VEHICLE THEFT,Monday,MISSION,NONE,
23/03/2005,12:00:00,VEHICLE THEFT,Wednesday,NORTHERN,NONE,
15/01/2012,12:10:00,OTHER OFFENSES,Sunday,SOUTHERN,ARREST,CITED
31/10/2003,13:00:00,BURGLARY,Friday,MISSION,NONE,
13/10/2003,17:00:00,LARCENY\/THEFT,Monday,INGLESIDE,NONE,
15/04/2014,19:05:00,VANDALISM,Tuesday,TENDERLOIN,NONE,
05/06/2011,15:06:00,NON-CRIMINAL,Sunday,TARAVAL,PSYCHOPATHIC CASE,
23/11/2009,10:27:00,DRUG\/NARCOTIC,Monday,TENDERLOIN,ARREST,BOOKED
10/11/2003,21:33:00,OTHER OFFENSES,Monday,MISSION,ARREST,CITED
21/02/2009,16:45:00,LARCENY\/THEFT,Saturday,MISSION,NONE,
23/12/2008,17:45:00,BURGLARY,Tuesday,CENTRAL,NONE,
20/11/2010,21:00:00,ASSAULT,Saturday,INGLESIDE,ARREST,BOOKED
30/03/2009,14:00:00,OTHER OFFENSES,Monday,RICHMOND,NONE,
14/12/2013,04:26:00,ROBBERY,Saturday,CENTRAL,NONE,
18/11/2010,20:00:00,LARCENY\/THEFT,Thursday,CENTRAL,NONE,
21/08/2004,12:00:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
12/10/2009,19:00:00,LARCENY\/THEFT,Monday,NORTHERN,NONE,
02/04/2009,10:00:00,NON-CRIMINAL,Thursday,TARAVAL,PSYCHOPATHIC CASE,
28/07/2005,19:49:00,OTHER OFFENSES,Thursday,INGLESIDE,NONE,
04/05/2013,13:30:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
17/05/2012,22:30:00,NON-CRIMINAL,Thursday,TENDERLOIN,NONE,
29/06/2006,11:48:00,LARCENY\/THEFT,Thursday,INGLESIDE,NONE,
22/05/2010,01:30:00,LARCENY\/THEFT,Saturday,MISSION,NONE,
27/03/2005,09:18:00,KIDNAPPING,Sunday,INGLESIDE,NONE,
18/06/2010,17:56:00,ASSAULT,Friday,CENTRAL,ARREST,BOOKED
06/04/2011,11:47:00,NON-CRIMINAL,Wednesday,MISSION,PSYCHOPATHIC CASE,
13/12/2011,13:00:00,LARCENY\/THEFT,Tuesday,MISSION,NONE,
10/01/2014,18:00:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
16/06/2013,18:30:00,VANDALISM,Sunday,TARAVAL,NONE,
01/10/2012,02:03:00,DISORDERLY CONDUCT,Monday,MISSION,ARREST,BOOKED
01/04/2015,17:00:00,LARCENY\/THEFT,Wednesday,RICHMOND,NONE,
17/04/2006,09:00:00,LARCENY\/THEFT,Monday,TARAVAL,NONE,
22/03/2010,21:24:00,FRAUD,Monday,CENTRAL,NONE,
04/12/2010,15:01:00,OTHER OFFENSES,Saturday,MISSION,ARREST,BOOKED
24/01/2015,02:43:00,ASSAULT,Saturday,CENTRAL,ARREST,BOOKED
15/11/2006,16:00:00,NON-CRIMINAL,Wednesday,MISSION,UNFOUNDED,
20/05/2006,15:00:00,LARCENY\/THEFT,Saturday,RICHMOND,NONE,
11/05/2004,17:28:00,VEHICLE THEFT,Tuesday,CENTRAL,NONE,
21/09/2010,10:45:00,NON-CRIMINAL,Tuesday,MISSION,NONE,
01/12/2011,00:18:00,FRAUD,Thursday,SOUTHERN,ARREST,CITED
25/01/2004,01:00:00,LARCENY\/THEFT,Sunday,TARAVAL,NONE,
24/03/2010,06:30:00,LARCENY\/THEFT,Wednesday,INGLESIDE,NONE,
13/05/2014,10:30:00,ASSAULT,Tuesday,RICHMOND,ARREST,BOOKED
26/05/2004,08:00:00,BURGLARY,Wednesday,INGLESIDE,NONE,
14/05/2014,00:39:00,OTHER OFFENSES,Wednesday,PARK,ARREST,BOOKED
14/07/2006,21:15:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
06/04/2005,20:00:00,VEHICLE THEFT,Wednesday,TARAVAL,NONE,
24/11/2014,15:00:00,BURGLARY,Monday,TENDERLOIN,NONE,
14/10/2008,13:10:00,OTHER OFFENSES,Tuesday,BAYVIEW,NONE,
27/07/2005,06:22:00,VEHICLE THEFT,Wednesday,NORTHERN,NONE,
08/05/2010,14:25:00,WARRANTS,Saturday,SOUTHERN,ARREST,BOOKED
19/11/2010,07:40:00,SUSPICIOUS OCC,Friday,TENDERLOIN,NONE,
